,score,metrics,experiment
0,0.5155771358308628,AUROC,0
1,0.6672055160582617,Accuracy,0
2,0.0,Recall,0
3,0.0,Precision,0
4,0.0,F1 score,0
5,0.3294931348861976,AUPR,0
0,0.5244525465606578,AUROC,1
1,0.6534865345361164,Accuracy,1
2,0.005278705990604872,Recall,1
3,0.17609046849757673,Precision,1
4,0.010250141056987024,F1 score,1
5,0.3470440796078958,AUPR,1
0,0.5200524789682759,AUROC,2
1,0.6563726731670254,Accuracy,2
2,0.0,Recall,2
3,0.0,Precision,2
4,0.0,F1 score,2
5,0.3548527825163847,AUPR,2
0,0.49259020145079424,AUROC,3
1,0.6551330798479087,Accuracy,3
2,0.0,Recall,3
3,0.0,Precision,3
4,0.0,F1 score,3
5,0.3292642472103024,AUPR,3
0,0.5169450770484472,AUROC,4
1,0.6598196062940286,Accuracy,4
2,0.004219613929576099,Recall,4
3,0.38839285714285715,Precision,4
4,0.008348527012762692,F1 score,4
5,0.3478704413255524,AUPR,4
0,0.49719496177827976,AUROC,0
1,0.6671890723724367,Accuracy,0
2,0.0,Recall,0
3,0.0,Precision,0
4,0.0,F1 score,0
5,0.3234468030788045,AUPR,0
0,0.5166732636947926,AUROC,1
1,0.6600046096605314,Accuracy,1
2,0.0,Recall,1
3,0.0,Precision,1
4,0.0,F1 score,1
5,0.34765146368374444,AUPR,1
0,0.5087904388246314,AUROC,2
1,0.6563771350778047,Accuracy,2
2,0.0,Recall,2
3,0.0,Precision,2
4,0.0,F1 score,2
5,0.3484279631929387,AUPR,2
0,0.5004209841165881,AUROC,3
1,0.6553525667520873,Accuracy,3
2,0.0,Recall,3
3,0.0,Precision,3
4,0.0,F1 score,3
5,0.335865639139799,AUPR,3
0,0.5269225555639511,AUROC,4
1,0.6603183486691577,Accuracy,4
2,0.0027648428405122236,Recall,4
3,0.4253731343283582,Precision,4
4,0.005493975903614458,F1 score,4
5,0.3546093381907828,AUPR,4
0,0.5225168115083424,AUROC,0
1,0.667106630809589,Accuracy,0
2,4.957120904178853e-05,Recall,0
3,0.16666666666666666,Precision,0
4,9.91129391942118e-05,F1 score,0
5,0.33982473456745266,AUPR,0
0,0.49133411909168057,AUROC,1
1,0.6597734457323499,Accuracy,1
2,4.843318641933453e-05,Recall,1
3,0.05263157894736842,Precision,1
4,9.677731539727088e-05,F1 score,1
5,0.3235183122561531,AUPR,1
0,0.5127924660727979,AUROC,2
1,0.6562866098850647,Accuracy,2
2,4.6072333563695e-05,Recall,2
3,0.125,Precision,2
4,9.211071708193249e-05,F1 score,2
5,0.3506237291986719,AUPR,2
0,0.5052097807315594,AUROC,3
1,0.6511078042328042,Accuracy,3
2,0.0016797849875215972,Recall,3
3,0.1044776119402985,Precision,3
4,0.003306409711397666,F1 score,3
5,0.34014607041393735,AUPR,3
0,0.5030190792871029,AUROC,4
1,0.6581997168537846,Accuracy,4
2,0.0023284016492845015,Recall,4
3,0.19672131147540983,Precision,4
4,0.004602329929526823,F1 score,4
5,0.3342664589044667,AUPR,4
0,0.5173096516876243,AUROC,0
1,0.6671891758105767,Accuracy,0
2,9.915716410510659e-05,Recall,0
3,0.5,Precision,0
4,0.00019827500743531276,F1 score,0
5,0.3401351802817349,AUPR,0
0,0.5059298641988702,AUROC,1
1,0.6594434381689445,Accuracy,1
2,0.0,Recall,1
3,0.0,Precision,1
4,0.0,F1 score,1
5,0.3358774915787167,AUPR,1
0,0.5224915512026838,AUROC,2
1,0.6563860610186666,Accuracy,2
2,0.0,Recall,2
3,0.0,Precision,2
4,0.0,F1 score,2
5,0.3542963550246319,AUPR,2
0,0.50073967522212,AUROC,3
1,0.6555105415460935,Accuracy,3
2,0.0,Recall,3
3,0.0,Precision,3
4,0.0,F1 score,3
5,0.3386886281897851,AUPR,3
0,0.5206139968846404,AUROC,4
1,0.6605423025633427,Accuracy,4
2,0.0,Recall,4
3,0.0,Precision,4
4,0.0,F1 score,4
5,0.34573876426091127,AUPR,4
