score,metrics,experiment
0.1636118328396281,AUROC,0
0.9720602766798419,Accuracy,0
0.9917830317084236,Recall,0
0.9799516848056186,Precision,0
0.9858318614002781,F1 score,0
0.9535243499994438,AUPR,0
0.8172491075836055,AUROC,1
0.8978125794008269,Accuracy,1
0.9750671654907475,Recall,1
0.918821720099373,Precision,1
0.9461092432880184,F1 score,1
0.9809326370206117,AUPR,1
0.8930472454905044,AUROC,2
0.9668064118372379,Accuracy,2
0.9821963687643223,Recall,2
0.9838811391670661,Precision,2
0.9830380321092825,F1 score,2
0.9974381304170876,AUPR,2
0.8810325210557285,AUROC,3
0.9676111358354349,Accuracy,3
0.9935076739294154,Recall,3
0.9730396520589059,Precision,3
0.983167146381579,F1 score,3
0.9926171682538059,AUPR,3
0.7510291942040207,AUROC,4
0.9968820370691148,Accuracy,4
0.9979191438763377,Recall,4
0.9989584883201904,Precision,4
0.9984385456167746,F1 score,4
0.9996017282437397,AUPR,4
